Measurement Name :,run_1_dark_7_12_23-583,,Generated On :,"12/07/2023, 12:44:39",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000583      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 050
Ref LED current   : 040
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"12/07/2023, 12:21:57",,,,,,Batch No.:  ,SP-PSt5-2102-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"12/07/2023, 12:44:05",,,,,,O2_cal0 [°],56.14,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],50.69,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-583,,,,,,O2_T0 [°C],9.9,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],9.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],969,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
12.07.23 12:32:14,10.28,279.9,282.34,284.38,237.92,244.13,277.07,297.53,289.7,298.36,270.62,262.63,203.07,267.42,270.22,243.74,279.5,283.56,149.47,301.68,301.68,263.42,281.53,217.29,287.24,,23,969,35,27.29,
12.07.23 12:32:29,10.53,279.09,281.94,284.79,237.92,243.35,276.66,295.87,289.7,298.77,270.62,262.23,202.33,267.82,270.62,242.96,278.28,282.75,148.08,300.85,300.43,262.63,280.31,216.54,286.01,,23,969,35,27.29,
12.07.23 12:32:44,10.78,279.09,281.12,283.16,236.76,242.96,275.05,295.87,290.52,298.77,269.82,261.44,201.59,267.02,269.82,242.19,278.28,282.75,148.08,299.19,300.43,263.03,280.72,216.16,286.42,,23,969,35,27.25,
12.07.23 12:32:59,11.03,278.28,279.5,282.34,236.76,241.8,274.64,293.81,288.47,296.29,268.62,260.24,200.84,265.82,269.02,242.57,275.86,280.31,146.68,298.36,300.02,262.23,280.31,215.41,285.6,,23,969,35,27.25,
12.07.23 12:33:14,11.28,277.88,279.09,281.12,235.99,241.02,273.84,293.81,288.47,297.11,267.82,259.45,200.84,265.42,269.02,241.8,275.05,281.12,146.68,299.19,299.6,261.44,278.69,213.9,283.97,,23,969,35,27.23,
12.07.23 12:33:29,11.53,276.26,278.69,279.9,235.99,240.25,273.03,292.16,286.42,295.05,265.82,258.26,199.73,264.62,267.82,240.25,273.44,280.31,145.3,298.77,297.94,260.64,278.28,212.03,282.34,,23,969,35,27.2,
12.07.23 12:33:44,11.78,276.66,277.88,279.9,235.61,240.25,273.84,291.75,288.47,292.99,265.82,256.29,199.36,263.82,267.42,239.86,273.84,280.72,144.95,297.94,298.36,260.24,277.07,211.65,282.34,,23,969,35,27.18,
