Measurement Name :,run_1_light_7_12_23-583,,Generated On :,"12/07/2023, 12:15:25",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000583      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 050
Ref LED current   : 040
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"12/07/2023, 11:42:33",,,,,,Batch No.:  ,SP-PSt5-2102-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"12/07/2023, 12:14:20",,,,,,O2_cal0 [°],56.14,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],50.69,,Adjustment at ,23, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-583,,,,,,O2_T0 [°C],9.9,,Adjustment at ,969, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],9.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],969,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,47.86,47.6,47.5,47.53,47.62,47.51,47.4,47.57,47.55,47.52,47.63,47.84,47.62,47.55,47.54,47.55,47.45,47.63,47.48,47.49,47.6,47.56,47.61,47.49,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
12.07.23 12:03:06,20.55,291.68,258.35,265.72,192.01,247.97,321.17,309.43,335.04,284.53,275.37,297.8,231.15,222.51,246.93,206.02,289.78,241.92,135.11,295.51,255.92,200.25,263.92,231.93,305.48,,23,969,35,26.01,969D6-(E1);
12.07.23 12:03:21,20.8,277.37,282.72,313.28,226.85,263.22,300.74,244.17,285.46,270.44,306.96,262.55,296.55,238.68,288.28,240.51,280.8,267.92,180.2,307.28,271.47,237.9,260.29,250.44,275.14,,23,969,35,26.05,969D6-(E1);
